,E,M,N,spike,nsp1,nsp10,nsp11,nsp12,nsp13,nsp14,nsp15,nsp2,nsp4,nsp5,nsp5_C145A,nsp6,nsp7,nsp8,nsp9,orf10,orf3a,orf3b,orf6,orf7a,orf8,orf9b,orf9c,SARS,IBV,MERS,CoV-229E,CoV-NL63,MHV
Fluorometholone,0.504897058,0.519797862,1.259662986,1.041164994,0.116814338,1.239116549,0.71121341,0.107537761,-0.66333425,1.034890771,0.063595496,0.453259826,0.610416234,1.076016903,0.731873393,0.722084284,0.797587037,1.735081196,-0.399116606,0.365475059,-0.030500939,0.44572708,-0.347437829,0.708207786,1.504544616,0.656600773,1.018614411,2.758084059,2.505685806,1.966770411,0.965699911,1.392218351,1.753657222
Prednicarbate,0.826547503,0.789812863,1.447924852,0.876441121,0.403390467,1.233637571,0.776621342,0.533587754,-0.036209349,0.919182658,-0.062119383,0.880530059,1.052455068,1.184993505,1.011996388,1.221207857,0.777981997,1.1248523,-0.212344229,0.428373218,0.382888943,0.442724645,-0.194519371,1.188432097,1.284352183,0.356262356,1.215271115,2.747842789,2.328661919,1.930904508,0.892677188,1.345163226,2.153809786
Clobetasol propionate,0.833727181,0.813663721,1.526571274,0.951059639,0.268713444,1.375163794,0.836601496,0.473897904,-0.148305908,1.125789046,0.007169513,0.809909642,0.846337676,1.233999252,0.773323596,1.032900095,0.83991605,1.497668624,-0.31283927,0.439175189,0.285351485,0.551820099,-0.287421137,1.02346015,1.462320566,0.490498453,1.185673237,2.725135565,2.471761942,2.176357985,0.922924876,1.277220607,1.982170582
Ulobetasol,0.422428817,0.532889307,1.307829499,0.505803943,-0.131108329,1.106449127,0.34773761,-0.142158866,-0.670515656,0.57056576,-0.45720908,0.357254684,0.653506339,0.857728422,0.546009243,0.673480511,0.677921772,1.269426823,-0.742387831,-0.059039757,-0.072435573,0.076213531,-0.657325029,0.722979009,1.140680909,0.142015725,0.915076435,2.680981398,2.36608839,1.767502904,0.575192451,1.104047537,1.869875193
Medrysone,1.494230986,1.113723636,1.851379275,1.58929348,1.179120779,1.744839549,1.498717308,1.449607134,0.731918097,1.649048448,1.011931777,1.447751403,1.361863136,1.708065748,1.470183611,1.469214916,1.476567507,2.015060663,0.786281943,1.270340681,1.006397724,1.313480735,0.73036325,1.42797029,1.906700015,1.356254101,1.546829104,2.669722795,2.558328152,2.472623348,1.667468309,1.912755132,1.975484133
Betamethasone,1.694215059,1.687463641,1.4887923,2.192791462,1.377124667,2.127358437,1.774068952,1.651529193,1.619555354,1.843454719,1.289632082,1.370659471,1.542140126,2.493812084,1.89635849,1.953758001,1.706057429,1.603018165,1.635620475,1.312479615,1.340743184,1.910091162,1.677970886,2.407702923,2.2310009,1.488915563,1.874291897,2.625325203,1.85763073,1.72294867,2.04285574,2.506822586,2.260327816
Sulfacetamide,0.974033058,1.068866611,0.270795375,0.977233708,-0.212145478,1.081991076,0.047796741,0.155113563,-0.726560056,1.627541304,-0.263790518,1.264128923,0.561423123,1.053909898,0.505506217,0.887388885,0.71944201,1.021268249,-0.520784914,0.870032847,0.535989463,0.856770873,-0.543703854,0.608739614,0.955646873,-1.791245699,1.585973501,2.615527868,1.380973458,2.499536753,0.551971912,0.724533856,1.832133174
Difluprednate,0.578608215,0.591832936,1.160934925,1.011969447,0.015550513,1.313457847,0.681323111,0.130247071,-0.346725017,0.838580489,-0.123660974,0.371176243,0.689700186,1.152375817,0.849573851,0.814023316,0.734691322,1.388563156,-0.366834521,0.229768544,0.012238897,0.338788033,-0.207988128,0.96333468,1.2640692,0.443297058,0.941397429,2.597326756,2.261614799,1.604540944,0.926362097,1.354505062,1.924323916
Amcinonide,0.484370351,0.571825206,1.196084619,0.903716326,0.177544042,1.205798149,0.761532128,0.170345232,-0.486880809,0.867345572,-0.158416957,0.554324985,0.806588054,1.010854602,0.790976405,0.865635157,0.677600324,1.291733027,-0.381712705,0.237691626,0.133394063,0.332261264,-0.306770563,0.842700958,1.232884049,0.331614017,1.05539,2.566084146,2.212819338,1.877354741,0.816723406,1.274200559,1.84627831
Prednisone,1.233355284,1.591537714,1.230759382,1.687179208,0.879384935,1.975849867,1.282167077,1.101868033,1.31397295,1.488771319,0.737884581,1.020469904,1.39973712,2.336305618,1.51644516,1.859822869,1.27935648,0.850283265,1.544884682,0.84033227,1.264207244,1.820157528,1.535974622,2.58020997,1.924542069,0.60892117,1.7858634,2.559559345,1.675969005,0.926050842,1.561976671,2.289392471,2.375579357
Fluorescein,1.955747128,1.9470644,1.632958055,1.362982154,1.162182331,1.595216274,0.672544837,1.359635353,0.348344445,2.329133749,1.746653438,1.943623543,1.407527447,1.997286916,1.256773591,1.689255476,1.809523225,1.918961406,0.688973963,1.72749424,1.464097381,2.025774717,0.970112562,1.520079255,2.197856188,0.558897316,1.967597127,2.556755543,1.818238497,2.029263735,1.396369457,1.641702771,1.368160486
Sulfamethazine,0.863850057,0.792796195,1.156749725,0.667676568,0.242203668,1.021464229,-0.065730885,0.525710523,-1.664176106,1.326558948,-0.069354743,1.316564441,0.570701718,0.929792941,0.525072157,0.977682114,0.763572931,1.265462637,-0.89798981,0.662429512,0.355126202,0.499781191,-0.783269107,-0.046397984,1.13435936,-0.557219386,1.293480277,2.555228233,1.857752919,2.357135534,0.581702113,0.686886072,1.333661795
Prednisolone,1.185102701,1.382100224,1.171004891,1.737990618,0.717675567,1.971855998,1.23685348,0.937444687,0.966569543,1.374408722,0.590554297,0.881619394,1.329250693,2.191418648,1.558588743,1.641034007,1.319630027,1.130987883,1.381222844,0.775509298,1.141893387,1.65024066,1.38359499,2.430592537,1.799555421,0.572060049,1.651782036,2.543326616,1.81798315,1.099673271,1.637881756,2.337773561,2.332397223
Hydrocortisone,1.723380804,1.658161402,1.719262004,1.897789121,1.219652772,2.153179884,1.687904716,1.64196384,1.628582835,1.521341801,0.917443156,1.478684306,1.820553064,2.365915537,1.985763669,1.977231383,1.641781807,1.37914145,1.680353284,1.166571498,1.529262543,1.807773352,1.653776169,2.640698671,1.885631323,1.044405699,1.849683881,2.524070263,2.125253201,1.668547988,1.996945977,2.446658134,2.529464006
Repaglinide,1.854992509,1.31166625,2.328769922,1.275669694,1.692246795,1.672489524,1.048462391,1.820570707,-0.262812823,1.454831958,1.211624861,1.834169745,1.622878075,1.499666572,1.611639738,1.741093159,1.818548918,1.716498733,0.537053168,1.35631609,1.437104225,1.109151602,0.660623312,0.874752998,1.76233542,1.221260548,1.707847118,2.510002136,2.525416851,2.139853477,1.661347508,1.689099789,1.475091934
Sulfacytine,0.99764508,0.716809392,1.081923604,0.775788844,0.536259651,1.009368777,0.104873054,0.760913432,-1.125643253,1.37759316,0.141400918,1.446354866,0.617148101,0.932868958,0.628708124,1.091997623,0.882372439,1.326335788,-0.542014062,0.882451177,0.462144256,0.580828607,-0.550380111,0.029311966,1.17387867,-0.35727042,1.305099607,2.503101587,1.730869889,2.495194435,0.74153614,0.795413673,1.307670236
Sulfametopyrazine,0.741126776,0.675905883,0.976971269,0.643847823,0.289855212,0.914223611,-0.053243514,0.511400521,-1.402356029,1.360580087,-0.011564733,1.325841784,0.574746668,0.83233422,0.477666914,0.939777553,0.771722913,1.31801641,-0.697047114,0.743192434,0.435046762,0.607863188,-0.684246957,-0.044981878,1.150015712,-0.628786743,1.326406121,2.493674517,1.724149466,2.481739044,0.564604402,0.753716052,1.252576709
Methylprednisolone,1.082128882,1.347823739,1.240170717,1.67583251,0.710528731,1.987443924,1.268970728,0.963191688,0.940635562,1.240496278,0.542620957,0.754809201,1.352532506,2.118033886,1.559969187,1.596907854,1.241423607,1.081857204,1.351356745,0.677930355,1.141299605,1.524444222,1.382641196,2.446978807,1.71100235,0.778746963,1.542428017,2.459183455,1.835359097,0.912483275,1.582118392,2.271848917,2.344130039
Triamcinolone,1.007764816,1.362450123,0.985494971,1.850310564,0.545527816,1.93144989,1.326162219,0.806435764,0.881593823,1.39346242,0.605469346,0.680547118,1.243015409,2.142614365,1.566977859,1.463909149,1.247336626,1.199906588,1.18028152,0.735358775,0.955920875,1.566817403,1.30346489,2.320542336,1.761009097,0.727873147,1.546912193,2.458047152,1.645126104,0.978690505,1.538794518,2.249373198,2.307522774
Chlorpropamide,1.528185844,1.287927032,1.680496454,1.397448301,1.717428327,1.453878522,0.998903573,1.449483395,-0.318419337,1.519926667,1.182910204,1.863598704,1.69199717,1.475800157,1.696543336,1.856632471,1.571589708,1.153223157,0.717342794,1.47756815,1.393973827,1.215839148,0.857927024,0.955859363,1.652524114,0.581126153,1.907413006,2.433403254,1.850752711,1.84337604,1.624014139,1.763516903,1.525324225
Sulfadoxine,1.025345445,0.872672379,1.202134967,0.985451043,0.567944169,1.167870522,0.387497813,0.887096882,-0.982731342,1.598791242,0.249200329,1.593419552,0.673272491,1.042157412,0.659787536,1.128591895,0.85289669,1.499397755,-0.526212215,1.032251239,0.574559331,0.670618832,-0.468755782,0.109586857,1.22956717,-0.250063658,1.413899183,2.43147397,1.675674081,2.67701602,0.805673122,0.645567,1.353524804
Acetazolamide,1.795747876,1.201669455,1.662861466,1.548875928,1.711526632,1.567352653,1.20364511,1.121671915,-0.249873281,1.392882466,1.520727396,1.428471208,1.562891483,1.735699296,1.813501716,1.833259106,1.744123816,1.517937422,0.757523537,1.5323385,0.98627466,1.087097287,0.884992778,1.344120026,1.719548345,1.368138433,1.629148602,2.408494711,1.771160364,1.045249581,1.840742826,1.996602535,1.3129884
Tetracosactide,1.369917035,1.631929994,1.052089691,1.717774987,0.822989464,2.096256256,1.385636687,1.206022143,2.035348892,1.708170652,0.977195024,1.221294045,1.462357044,1.984480619,1.30967474,1.669256449,1.404010415,1.468327641,1.329053879,1.175424695,1.287706614,1.559375405,1.618860602,2.354968309,1.668367267,0.551445305,1.582790017,2.395479679,1.232737064,1.329728603,1.495838642,1.700523138,2.11655283
Fluoxymesterone,1.849389911,0.905635476,1.729417801,1.432266831,1.563808918,1.448405862,1.307556152,1.743722081,1.530370474,1.196293831,0.890726388,1.686044931,1.704576969,1.496042371,1.841589808,1.855635643,1.588489532,1.316884756,1.423188329,1.704362035,1.295557857,1.13394928,1.010226369,1.850687742,1.487707257,1.206246972,1.367693543,2.380901337,2.270328522,2.583266973,1.962141037,2.168281078,2.126420259
Hydrocortisone valerate,0.968601048,0.981045485,1.447094798,0.994096935,0.743287265,1.725731969,1.188681602,0.789021492,0.024288006,1.133914113,0.129727066,1.18582046,1.335062027,0.822132945,0.876471281,1.114928365,0.819762826,1.037601709,-0.008955089,0.487662882,0.777138293,0.220297545,0.260125786,0.786980927,1.016138196,0.386513799,1.16536963,2.342646837,2.302576065,2.38565135,1.24017477,0.852824509,1.908275604
Halcinonide,1.319214225,1.35928154,1.861299992,1.288275123,0.786251247,1.869457364,1.299183369,0.837790847,-0.265804172,1.587263346,0.798414886,1.231898904,1.431189775,1.28400898,1.149383068,1.069017529,1.304999471,1.842074871,0.174013451,1.073232651,1.046316266,0.861670554,0.483856976,1.137959957,1.441134334,0.769919515,1.370271444,2.334372759,2.450482368,2.090429783,1.297463775,1.163958311,1.915315032
Hydrocortisone butyrate,0.748057425,0.92691344,1.303071499,0.991388857,0.59880954,1.679549694,1.212356687,0.676209271,-0.012969363,1.10407722,0.016224252,1.057967901,1.297425628,0.751173615,0.806472838,1.016214013,0.678322196,0.95601505,-0.088375621,0.348085225,0.729759216,0.17934981,0.219056532,0.747073412,0.946447372,0.255571902,1.135511875,2.33133316,2.255995274,2.353982687,1.13880837,0.803469956,1.938089728
Glyburide,1.854482889,1.456383824,2.20650363,1.56793201,2.116134167,1.7320925,1.275638103,2.267967701,0.048487749,1.644792557,1.494408131,2.139824152,1.815591812,1.690073967,1.925586224,2.007114172,1.858671904,1.470887423,1.115380287,1.616545081,1.857410312,1.518359661,1.210914254,0.987221658,1.849844813,1.326614618,2.046309471,2.330131054,2.163531065,1.958325386,1.875312686,1.87782681,1.456360698
Dapsone,1.588714719,1.661607623,0.846507967,1.953544736,1.245261192,1.508475065,1.221653581,1.638460159,1.453288078,2.276222467,1.400766373,1.977505922,1.178544641,1.928297043,1.520806313,1.569922924,1.638362885,1.700304866,1.424544454,1.686974525,1.57167232,2.25795269,1.311499715,1.339699864,1.994157195,-0.038132414,2.283455133,2.329040766,1.300450563,2.199157238,1.449999809,1.803720474,1.693578839
Sulfadiazine,1.392845392,1.325808644,0.475094914,1.637904167,0.60033083,1.324118495,0.515264392,0.741287351,-0.08626657,1.945573568,0.691864729,1.602686048,0.959764421,1.654171824,1.096048713,1.321486354,1.381633043,1.534178972,0.402323097,1.349194407,1.013798237,1.590824127,0.524662852,0.915158033,1.576397657,-1.21380806,1.950253248,2.305381536,1.156184435,2.399307251,1.237233639,1.589712024,1.467789173
Fluocinolone acetonide,1.015142798,1.107955813,1.4132092,1.101722598,0.613283038,1.323390007,0.933989167,0.588655293,0.287470341,1.024093866,0.371121645,0.824600339,1.020582914,1.590774655,1.127560616,1.28350091,0.968336761,1.140254021,0.261613607,0.513330281,0.514484584,0.853557706,0.332723051,1.545346975,1.61062932,0.785977721,1.320303321,2.289985895,1.793598652,1.303002954,0.993659258,1.545198679,1.868336916
Budesonide,1.389003396,1.293350697,1.698026657,1.398482084,0.938046753,1.508629084,1.263913035,1.170204163,0.873528779,1.129264712,0.561251104,1.175013065,1.292687297,1.926451564,1.555969834,1.606808186,1.164269805,1.323862672,0.568250775,0.686109126,0.834142208,1.09931469,0.692262828,1.843078375,1.765366316,1.090243101,1.528184772,2.285939455,1.874337077,1.465352535,1.348883033,1.85349524,2.004421234
Prednisolone acetate,0.467730194,0.730907917,1.397030711,1.02190733,0.65613544,1.542315602,1.147319436,0.261356801,-0.751016676,1.097498417,0.291553974,0.849321246,1.216832876,0.566770077,0.810833216,0.780243993,0.74672848,1.291580319,-0.202574238,0.481325269,0.574013114,0.167655334,0.182566553,0.437527806,1.162208319,0.653642356,1.091656327,2.285262585,2.326939106,1.99604547,1.124631166,0.913376987,1.628893137
Glipizide,1.38544929,1.324680567,1.956880808,1.222803473,1.581178546,1.526362181,1.060404301,1.567119956,-0.49977228,1.495105386,1.083729029,1.769603968,1.623238325,1.334875226,1.48491776,1.663875461,1.460636139,1.20125401,0.514006734,1.289919853,1.427902341,1.092259765,0.687387228,0.764567733,1.581822872,0.833606899,1.768712997,2.280790329,2.012886286,1.835629582,1.390553236,1.407991648,1.471662164
Exenatide,1.258483052,0.777913213,1.70917511,1.001638174,1.217941046,1.32219696,0.84756124,0.974611819,-0.550227761,1.186045647,0.683981299,1.406581163,1.233111382,1.003578782,1.06395328,1.372844219,1.124148965,1.338988781,-0.034868956,1.021376967,0.683929563,0.411187857,0.169700727,0.564157486,1.307561278,0.832702935,1.159395099,2.276003838,2.081080437,2.128981113,1.330869436,1.103096128,1.278690696
Gliclazide,1.453804016,1.233912945,1.859372735,1.22773087,1.69816947,1.433956146,1.04722023,1.659916401,-0.279161751,1.484695315,1.282154083,1.688601613,1.604153156,1.391198158,1.488428712,1.733163834,1.495935678,1.276127219,0.763246775,1.372853041,1.450662017,1.233430147,0.813734412,0.948048294,1.601732016,1.058796167,1.657740831,2.272907734,1.970944047,1.724739909,1.438166857,1.598841548,1.445471883
Vildagliptin,1.036079764,0.793687582,1.813523293,0.582671642,0.936383605,1.182654619,0.454134345,0.612828434,-1.068763018,0.819819331,0.234604031,1.162232399,1.103992581,0.880876541,0.798005998,1.331708431,0.900773108,0.952188492,-0.553665221,0.519238591,0.411070168,0.070037916,-0.226716653,0.433941156,1.204397559,0.619901121,1.031513095,2.266836405,2.00601697,1.761397719,1.023624301,0.89550966,1.236204505
Tazarotene,2.005996466,2.097620726,1.394515753,2.105981588,1.239769697,2.083762884,1.977234602,2.168770552,2.24559617,2.56765151,1.827241302,1.879585981,1.683205962,1.997342587,1.734159827,1.358402729,2.00479269,2.430580378,1.929844499,2.123259544,2.320285797,2.563753605,1.784707069,2.228055239,1.891095996,0.779289722,2.101477623,2.266007662,1.99130404,2.292773485,1.615943909,1.938166499,2.240160465
Hydrocortisone probutate,0.886224568,0.906399786,1.405089855,0.902215958,0.701980412,1.597235918,1.114822984,0.780968308,-0.043765869,1.058394551,0.081327848,1.156909466,1.233530641,0.740664959,0.79215759,1.088883758,0.697736084,0.92507726,-0.148468688,0.407388955,0.67959702,0.113838762,0.127168834,0.622625411,0.917985201,0.348068118,1.094360352,2.261766672,2.197122812,2.272688866,1.127183437,0.715116024,1.777599335
Aminosalicylic acid,0.751582801,1.15769434,0.98619926,1.468501806,0.879098952,1.528934002,1.047860146,0.706342638,-1.005138755,1.962343335,1.31546104,1.053371668,0.983719051,1.525652409,1.018547058,1.075297236,1.252236605,1.87104249,0.403408617,1.056499362,0.877123952,1.474316835,0.659265816,0.807206273,1.948851824,1.053933978,1.505705118,2.260168791,1.529723525,1.501616001,1.101278543,1.574840188,1.109776378
Clioquinol,1.404935598,1.730590343,0.579892755,1.072811723,-0.756855786,1.84746623,0.59387356,-0.305354744,0.466501534,1.274929881,-0.421173781,0.665664554,1.016734362,0.952868462,0.642756164,0.448511332,1.231547832,1.302845359,-0.120806664,0.755342364,0.725426614,0.452305108,-0.02981684,1.845962524,0.42397058,-1.416982293,1.030807614,2.241701841,1.437318921,2.151657581,0.665773869,0.588041723,2.697074652
Tolazamide,1.152770042,1.143774509,1.593058348,1.046435714,1.43094027,1.307415843,0.867846429,1.242605567,-0.48567009,1.268985033,0.828786969,1.568894863,1.515560746,1.209322691,1.338741899,1.583082318,1.25940752,0.907688856,0.424906433,1.057375908,1.222777486,0.932820737,0.558961511,0.777816296,1.413390875,0.508287251,1.649367929,2.239825487,1.745517254,1.729818225,1.213944316,1.389625192,1.458485961
Loteprednol,1.019816041,0.694816291,1.161298752,1.085524321,0.497819126,1.267786384,0.723216116,0.657154799,0.130354106,0.767998159,0.103210732,0.760243714,0.96998626,1.532251716,1.245315433,1.265771747,0.936946571,1.159634709,0.354478985,0.456903368,0.469157279,0.758263946,0.318763971,1.48083365,1.246045589,0.498955876,1.112212181,2.239170074,1.810332656,1.390070319,1.181918979,1.746894002,1.808050752
Acitretin,0.845467925,1.58644259,0.730857313,1.105159163,0.583967745,1.60338068,1.134088397,0.627780735,-0.137409091,2.118781805,1.246767402,0.749215424,1.017403007,1.473763943,0.506305695,0.982496858,1.191791654,1.432666063,0.448153913,0.802565157,0.975358903,1.626917243,0.65114224,1.461040974,1.748018265,0.410928905,1.46227777,2.235244751,1.377877951,1.186797142,0.523033023,1.171697497,1.429755211
Hexachlorophene,1.91298902,1.64699173,1.860153198,1.816963673,0.844105005,1.968993187,1.601826787,1.294263601,-0.055480525,2.423283815,1.320357084,1.78103137,1.207714796,1.745541811,1.099121809,1.302911639,1.369224429,2.433301926,0.306595981,1.826708674,1.094465613,1.40385592,0.440516114,1.322031379,1.832772613,1.003384233,1.539094925,2.22488308,2.330794811,2.780142546,1.577233672,1.067017913,1.576668024
Albumin human,2.105188131,1.231686234,1.841416836,1.058286071,0.488510877,1.813486576,0.766591847,0.895690978,0.193587258,1.126470447,0.319919646,1.429956198,1.368851304,1.125276208,1.167084455,1.135583043,1.200560689,1.930535316,-0.004856379,1.388367534,0.992241859,0.243160322,0.200062409,1.829740405,0.870167613,0.528264701,0.944417894,2.219007015,2.478875399,2.080506325,1.407515407,0.812515318,1.947926998
Tolbutamide,1.527241588,1.326090336,1.847662449,1.300512195,1.529163718,1.497963548,1.024519324,1.572390199,-0.428173423,1.489866734,1.029399037,1.843987823,1.578354836,1.426705241,1.574204445,1.655754447,1.452957869,1.270810962,0.525748849,1.385115027,1.421995997,1.109390974,0.681948841,0.846424878,1.498281717,0.68243891,1.772778273,2.206903219,1.928317308,1.89082849,1.451479912,1.426339746,1.491965771
Pioglitazone,1.570253253,1.211971641,1.88449192,1.255117536,1.555041313,1.563741803,1.09354341,1.700734377,-0.056512963,1.367171764,1.078563571,1.576323867,1.528601885,1.549900889,1.515722632,1.679884076,1.503675938,1.413134217,0.625346482,1.08471477,1.359653473,1.183666229,0.78745836,1.07676506,1.59600842,0.999154508,1.610944152,2.196614504,2.054968596,1.73464179,1.443844676,1.682571054,1.399846911
Insulin glargine,0.743697822,1.003157854,1.429792523,1.120260477,1.224645257,1.356833696,0.993213356,0.403690636,-1.094833732,1.254472852,0.897791147,1.099720836,1.471537471,0.797157109,1.152246237,1.083903193,1.322586298,1.105341792,0.314709872,0.991770923,0.974151731,0.733184695,0.580322623,0.501820445,1.558779597,0.618842721,1.541805863,2.196098566,1.968077898,1.600397468,1.270324349,1.43497622,1.282203078
Clobetasone,1.063856483,1.13815546,0.922077417,1.207355022,0.175843984,1.858097672,1.172153711,0.356790036,0.717572391,1.116386771,0.104638942,0.701082826,1.22371161,0.933906972,0.901566803,0.664073586,1.210779905,1.406545877,0.193383917,0.549633682,0.663585901,0.426178962,0.503816962,1.307381392,0.923671722,-0.080367327,0.997632921,2.194085121,1.913051486,2.173196316,1.13507843,1.036168933,2.20044589
Adapalene,0.381362915,1.296103954,0.035300784,1.371022582,-0.232964143,1.42648375,1.303534865,-0.004785656,-0.79344815,2.113320589,0.493979931,0.481024683,0.848066032,0.727037013,0.440540433,0.177314565,0.730070829,1.483867288,-0.359600961,0.864849627,0.711705208,0.91364187,-0.046607349,0.949405074,0.983404994,-0.595640719,1.204289794,2.18509078,1.488841057,2.021034002,0.372603416,0.557924926,1.783990622
Benzylpenicillin,1.714994669,1.601656675,0.972181797,1.806877732,0.911279261,1.655225992,0.905520678,1.156654119,-0.009866818,2.273850918,1.191787481,1.674306512,1.159335732,2.3001616,1.19453311,1.983370304,1.094812512,1.403370976,0.671075583,1.402132034,1.215180755,1.860532165,0.904721797,1.81500423,1.844528198,-0.262983203,1.840514183,2.182054043,1.246996284,1.660787702,1.488495231,1.68642354,1.362078547
Furosemide,1.801765442,0.936151385,2.095678329,0.895365059,2.228259325,1.41315341,0.245617121,1.888943911,-0.971655905,1.051713824,1.628115296,1.471648932,1.081164002,1.754344463,1.402313113,1.822028399,2.216051579,0.920935035,1.206276655,1.337869287,1.41583693,1.5541991,1.007570982,0.442566067,2.007280827,1.786377311,1.677401304,2.179870844,1.547829747,0.597773612,1.672383666,2.231659174,0.374577016
Fluticasone propionate,1.180340052,1.033337235,1.305873275,1.317974448,0.776375055,1.360318303,1.131599903,0.830521345,0.600230992,0.946432054,0.382224172,0.965191007,1.14628458,1.641474009,1.353585124,1.350651026,1.06531024,1.336751223,0.44578132,0.540092468,0.572366655,0.840172529,0.540766001,1.590730906,1.528864145,0.829287648,1.306353807,2.178563833,1.796774268,1.637364388,1.327947021,1.734556079,1.800230742
Cortisone acetate,1.255452514,1.353720784,1.106865525,1.369977593,0.564990461,1.941318512,1.078179002,0.859081566,1.194224596,1.156672001,0.316228747,0.934546769,1.367605567,1.965991259,1.296702385,1.524043798,1.197271824,0.866631508,1.277884126,0.654097497,1.110627294,1.399879575,1.315651774,2.412793159,1.46789515,0.231950819,1.413811922,2.169351339,1.577325702,1.194047451,1.445192933,1.932716489,2.252815008
